state,year,month,demand_mw,supply_mw
Andaman And Nicobar,2019,1,,17.134871263687483
Andaman And Nicobar,2020,1,,19.76892786303372
Andaman And Nicobar,2021,1,,19.086661908840043
Andaman And Nicobar,2022,1,,20.95283057250799
Andaman And Nicobar,2023,1,,22.876080694485545
Andaman And Nicobar,2024,1,,24.841305683563746
Andaman And Nicobar,2025,1,,25.052677220230983
Andhra Pradesh,2019,1,,2014.8413516657854
Andhra Pradesh,2020,1,,1752.2793583992025
Andhra Pradesh,2021,1,,1959.4503822407216
Andhra Pradesh,2022,1,,2109.115816290674
Andhra Pradesh,2023,1,,2261.5201612903224
Andhra Pradesh,2024,1,,2450.5445308800126
Andhra Pradesh,2025,1,,3004.842124824684
Arunachal Pradesh,2019,1,,128.94120463709677
Arunachal Pradesh,2020,1,,232.7977790811339
Arunachal Pradesh,2021,1,,388.6668921262574
Arunachal Pradesh,2022,1,,366.1402280311457
Arunachal Pradesh,2023,1,,341.2679120234604
Arunachal Pradesh,2024,1,,386.8633166481275
Arunachal Pradesh,2025,1,,354.9461248155176
Assam,2019,1,,252.7159363540307
Assam,2020,1,,215.34264272913467
Assam,2021,1,,242.18603502304148
Assam,2022,1,,277.1922766036337
Assam,2023,1,,257.4941274222299
Assam,2024,1,,258.71441173400143
Assam,2025,1,,278.975235865418
Bihar,2019,1,,822.4593815242132
Bihar,2020,1,,794.0213109677419
Bihar,2021,1,,1370.6235304659497
Bihar,2022,1,,1446.2558505200072
Bihar,2023,1,,1350.7750871619419
Bihar,2024,1,,1561.6404703132305
Bihar,2025,1,,1802.6315268817204
Chandigarh,2019,1,,14.004778225806453
Chandigarh,2020,1,,25.92118912080961
Chandigarh,2021,1,,25.694080047789726
Chandigarh,2022,1,,29.815869702719798
Chandigarh,2023,1,,22.80252688172043
Chandigarh,2024,1,,30.731161290322582
Chandigarh,2025,1,,22.850201612903223
Chhattisgarh,2019,1,,2343.6452548526745
Chhattisgarh,2020,1,,2592.0149529152472
Chhattisgarh,2021,1,,2455.8165078482266
Chhattisgarh,2022,1,,2544.8745026076876
Chhattisgarh,2023,1,,2861.4681795015226
Chhattisgarh,2024,1,,2969.0572882093356
Chhattisgarh,2025,1,,3282.9123476702507
Dadra And Nagar Haveli And Daman And Diu,2019,1,,13.588300051203278
Dadra And Nagar Haveli And Daman And Diu,2020,1,,22.780486021505375
Dadra And Nagar Haveli And Daman And Diu,2021,1,,27.65660450268817
Dadra And Nagar Haveli And Daman And Diu,2022,1,,24.353480475382003
Dadra And Nagar Haveli And Daman And Diu,2023,1,,23.92629967274427
Dadra And Nagar Haveli And Daman And Diu,2024,1,,24.411793906810036
Dadra And Nagar Haveli And Daman And Diu,2025,1,,32.942800586510266
Delhi,2019,1,,200.96819458896982
Delhi,2020,1,,187.20437868162693
Delhi,2021,1,,190.45060215053766
Delhi,2022,1,,166.11674486803517
Delhi,2023,1,,173.1507142857143
Delhi,2024,1,,206.40538746755652
Delhi,2025,1,,206.9946275659824
Goa,2019,1,,13.942455197132617
Goa,2020,1,,11.40794162826421
Goa,2021,1,,14.198878648233487
Goa,2022,1,,24.013189964157707
Goa,2023,1,,26.046918586789555
Goa,2024,1,,37.640876144962164
Goa,2025,1,,49.45980775496905
Gujarat,2019,1,,3021.4907554065485
Gujarat,2020,1,,3285.279513765804
Gujarat,2021,1,,3651.0921638274735
Gujarat,2022,1,,3888.1890262492097
Gujarat,2023,1,,5099.379861245251
Gujarat,2024,1,,5977.94052682165
Gujarat,2025,1,,6996.952335359202
Haryana,2019,1,,464.18816899979714
Haryana,2020,1,,398.3803648944643
Haryana,2021,1,,533.5347397421496
Haryana,2022,1,,764.982588283683
Haryana,2023,1,,720.1290913446184
Haryana,2024,1,,826.8928868997353
Haryana,2025,1,,939.7924433902592
Himachal Pradesh,2019,1,,5322.3349358974365
Himachal Pradesh,2020,1,,3267.64927688172
Himachal Pradesh,2021,1,,3776.616799359414
Himachal Pradesh,2022,1,,3670.8676110895194
Himachal Pradesh,2023,1,,2821.9475733798313
Himachal Pradesh,2024,1,,3571.617682610308
Himachal Pradesh,2025,1,,4133.678000977517
India Total,2019,1,,33924.28302955784
India Total,2020,1,,37104.25918078104
India Total,2021,1,,38177.57463578476
India Total,2022,1,,38914.18330312113
India Total,2023,1,,42932.99542316652
India Total,2024,1,,43546.34032613329
India Total,2025,1,,52958.93627529861
Jammu And Kashmir,2019,1,,2028.2390322580643
Jammu And Kashmir,2020,1,,1522.0242585646413
Jammu And Kashmir,2021,1,,1543.1098627316403
Jammu And Kashmir,2022,1,,1745.4010967741935
Jammu And Kashmir,2023,1,,1779.3237695852533
Jammu And Kashmir,2024,1,,1816.487495256167
Jammu And Kashmir,2025,1,,1718.6699345488546
Jharkhand,2019,1,,832.6713000000001
Jharkhand,2020,1,,715.7340968645523
Jharkhand,2021,1,,759.3854829749104
Jharkhand,2022,1,,837.4792108118772
Jharkhand,2023,1,,944.1229868578256
Jharkhand,2024,1,,1085.1485292192613
Jharkhand,2025,1,,1221.3420685068174
Karnataka,2019,1,,3228.167895833333
Karnataka,2020,1,,2990.2789678834183
Karnataka,2021,1,,3715.7094968679867
