state,year,month,demand_mw,model_demand_mw,demand_source,demand_proxy_used,supply_mw,demand_from_generation_mw,generation_total_gwh,clean_generation_gwh,renewables_pct,fossil_pct,co2_intensity_g_per_kwh,demand_lag_1,demand_lag_3,supply_lag_1,demand_roll3_mean,supply_roll3_mean,month_sin,month_cos,target_next_demand_mw
Andaman And Nicobar,2020,1,,18.061155913978496,generation_proxy,True,19.76892786303372,18.061155913978496,13.4375,2.919166666666667,20.635,79.36749999999999,563.4725,12.359991039426522,,17.134871263687483,12.359991039426522,17.134871263687483,0.49999999999999994,0.8660254037844387,14.657258064516132
Andaman And Nicobar,2021,1,,14.657258064516132,generation_proxy,True,19.086661908840043,14.657258064516132,10.905000000000001,2.9525,27.680833333333336,72.32083333333334,517.2441666666667,18.061155913978496,,19.76892786303372,15.210573476702509,18.4518995633606,0.49999999999999994,0.8660254037844387,24.073700716845877
Andaman And Nicobar,2022,1,,24.073700716845877,generation_proxy,True,20.95283057250799,24.073700716845877,17.910833333333333,3.1466666666666665,20.450833333333332,79.55083333333333,564.875,14.657258064516132,12.359991039426522,19.086661908840043,15.026135005973716,18.66348701185375,0.49999999999999994,0.8660254037844387,41.24663978494624
Andaman And Nicobar,2023,1,,41.24663978494624,generation_proxy,True,22.876080694485545,41.24663978494624,30.6875,2.98,9.713333333333333,90.28500000000001,635.8883333333333,24.073700716845877,18.061155913978496,20.95283057250799,18.930704898446834,19.93614011479392,0.49999999999999994,0.8660254037844387,45.299059139784944
Andaman And Nicobar,2024,1,,45.299059139784944,generation_proxy,True,24.841305683563746,45.299059139784944,33.7025,3.5858333333333334,10.705,89.29416666666667,629.2708333333334,41.24663978494624,14.657258064516132,22.876080694485545,26.65919952210275,20.97185772527786,0.49999999999999994,0.8660254037844387,45.065982404692086
Andhra Pradesh,2020,1,,7231.224238351254,generation_proxy,True,1752.2793583992025,7231.224238351254,5380.030833333333,1397.9216666666669,26.185833333333335,73.81416666666667,595.2658333333333,8571.645385304659,,2014.8413516657854,8571.645385304659,2014.8413516657854,0.49999999999999994,0.8660254037844387,8438.598790322581
Andhra Pradesh,2021,1,,8438.598790322581,generation_proxy,True,1959.4503822407216,8438.598790322581,6278.3175,1577.5541666666668,25.129166666666666,74.86916666666667,611.0283333333333,7231.224238351254,,1752.2793583992025,7901.434811827956,1883.560355032494,0.49999999999999994,0.8660254037844387,8995.760528673834
Andhra Pradesh,2022,1,,8995.760528673834,generation_proxy,True,2109.115816290674,8995.760528673834,6692.845833333333,1657.1791666666668,24.670833333333334,75.33083333333333,621.4841666666666,8438.598790322581,8571.645385304659,1959.4503822407216,8080.489471326165,1908.8570307685698,0.49999999999999994,0.8660254037844387,9874.065860215054
Andhra Pradesh,2023,1,,9874.065860215054,generation_proxy,True,2261.5201612903224,9874.065860215054,7346.305,1587.2475000000002,21.4025,78.59833333333334,650.9791666666666,8995.760528673834,7231.224238351254,2109.115816290674,8221.861185782558,1940.2818523101994,0.49999999999999994,0.8660254037844387,10152.246863799284
Andhra Pradesh,2024,1,,10152.246863799284,generation_proxy,True,2450.5445308800126,10152.246863799284,7553.2716666666665,1578.631666666667,20.861666666666668,79.13583333333334,655.1041666666666,9874.065860215054,8438.598790322581,2261.5201612903224,9102.80839307049,2110.0287866072395,0.49999999999999994,0.8660254037844387,10948.374877810362
Arunachal Pradesh,2020,1,,358.4901433691756,generation_proxy,True,232.7977790811339,358.4901433691756,266.71666666666664,266.71666666666664,100.0,0.0,24.040000000000003,184.7950268817204,,128.94120463709677,184.7950268817204,128.94120463709677,0.49999999999999994,0.8660254037844387,455.2318548387097
Arunachal Pradesh,2021,1,,455.2318548387097,generation_proxy,True,388.6668921262574,455.2318548387097,338.6925,338.6925,100.0,0.0,24.023333333333337,358.4901433691756,,232.7977790811339,271.642585125448,180.86949185911533,0.49999999999999994,0.8660254037844387,544.2652329749104
Arunachal Pradesh,2022,1,,544.2652329749104,generation_proxy,True,366.1402280311457,544.2652329749104,404.93333333333334,404.93333333333334,99.99916666666667,0.0,24.102500000000003,455.2318548387097,184.7950268817204,388.6668921262574,332.8390083632019,250.1352919481627,0.49999999999999994,0.8660254037844387,480.73700716845883
Arunachal Pradesh,2023,1,,480.73700716845883,generation_proxy,True,341.2679120234604,480.73700716845883,357.66833333333335,357.66833333333335,100.0,0.0,24.0175,544.2652329749104,358.4901433691756,366.1402280311457,452.66241039426524,329.2016330795123,0.49999999999999994,0.8660254037844387,481.3127240143369
Arunachal Pradesh,2024,1,,481.3127240143369,generation_proxy,True,386.8633166481275,481.3127240143369,358.09666666666664,358.09666666666664,100.0,0.0,24.010833333333334,480.73700716845883,455.2318548387097,341.2679120234604,493.41136499402637,365.35834406028783,0.49999999999999994,0.8660254037844387,500.1319648093841
Assam,2020,1,,675.969982078853,generation_proxy,True,215.34264272913467,675.969982078853,502.9216666666667,24.5575,4.9775,95.0225,636.8083333333333,890.9195788530466,,252.7159363540307,890.9195788530466,252.7159363540307,0.49999999999999994,0.8660254037844387,901.8929211469534
Assam,2021,1,,901.8929211469534,generation_proxy,True,242.18603502304148,901.8929211469534,671.0083333333333,67.11749999999999,9.81,90.18916666666667,606.3075,675.969982078853,,215.34264272913467,783.4447804659499,234.02928954158267,0.49999999999999994,0.8660254037844387,1017.9435483870968
Assam,2022,1,,1017.9435483870968,generation_proxy,True,277.1922766036337,1017.9435483870968,757.35,60.126666666666665,7.925,92.075,630.2683333333333,901.8929211469534,890.9195788530466,242.18603502304148,822.9274940262843,236.74820470206896,0.49999999999999994,0.8660254037844387,1059.842069892473
Assam,2023,1,,1059.842069892473,generation_proxy,True,257.4941274222299,1059.842069892473,788.5225,77.89666666666666,9.626666666666667,90.3725,625.2983333333333,1017.9435483870968,675.969982078853,277.1922766036337,865.2688172043012,244.90698478526997,0.49999999999999994,0.8660254037844387,1078.5035842293908
Assam,2024,1,,1078.5035842293908,generation_proxy,True,258.71441173400143,1078.5035842293908,802.4066666666668,119.01416666666667,14.443333333333335,85.55916666666667,588.1883333333334,1059.842069892473,901.8929211469534,257.4941274222299,993.2261798088412,258.95747968296837,0.49999999999999994,0.8660254037844387,1047.8103616813296
Bihar,2020,1,,3671.6711469534052,generation_proxy,True,794.0213109677419,3671.6711469534052,2731.7233333333334,26.705,0.9466666666666667,99.04916666666666,813.2049999999999,3970.8736559139784,,822.4593815242132,3970.8736559139784,822.4593815242132,0.49999999999999994,0.8660254037844387,4635.56899641577
