States / Uts,2018 - Small Hydro Power (MW),2019 - Small Hydro Power (MW),2018 - Wind Power (MW),2019 - Wind Power (MW),2018 - Power/Cogen (MW),2019 - Power/Cogen (MW),2018 - Waste to Energy (MW),2019 - Waste to Energy (MW),2018 - Solar Power (MW),2019 - Solar Power (MW),2018 - Total Capacity (MW),2019 - Total Capacity (MW),Growth Rate (from 2017-18 to 2018-19)
Andhra Pradesh,162.11,162.11,3966.95,4090.45,477.18,477.18,23.16,23.16,2195.46,3085.68,6824.86,7838.58,14.85
Arunachal Pradesh,104.61,131.11,-,-,-,-,-,-,5.39,5.39,110,136.5,24.09
Assam,34.11,34.11,-,-,-,-,-,-,12.45,22.4,46.56,56.51,21.37
Bihar,70.7,70.7,-,-,121.2,121.2,-,-,142.45,142.45,334.35,334.35,0
Chhatisgarh,76,76,-,-,230.5,230.5,-,-,231.35,231.35,537.85,537.85,0
Goa,0.05,0.05,-,-,-,-,-,-,0.91,3.92,0.96,3.97,313.54
Gujarat,28.6,61.3,5613.42,6073.07,65.3,77.3,-,-,1588,2440.13,7295.32,8651.8,18.59
Haryana,73.5,73.5,-,-,205.66,205.66,-,-,216.85,224.52,496.01,503.68,1.55
Himachal Pradesh,853.11,860.61,-,-,7.2,7.2,-,-,0.73,22.68,861.04,890.49,3.42
Jammu & Kashmir,179.03,179.03,-,-,-,-,-,-,1.36,14.83,180.39,193.86,7.47
Jharkhand,4.05,4.05,-,-,4.3,4.3,-,-,25.67,34.95,34.02,43.3,27.28
Karnataka,1230.73,1254.73,4608.4,4694.9,1768.8,1798.8,1,1,4944.12,6095.56,12553.05,13844.99,10.29
Kerala,219.02,222.02,52.5,52.5,0.72,0.72,-,-,107.94,138.59,380.18,413.83,8.85
Madhya Pradesh,86.16,95.91,2519.89,2519.89,105.35,105.35,15.4,15.4,1305.35,1840.16,4032.15,4576.71,13.51
Maharashtra,373.18,375.57,4783.93,4794.13,2186.4,2516.1,12.59,12.59,1239.18,1633.54,8595.28,9331.93,8.57
Manipur,5.45,5.45,-,-,-,-,-,-,0.06,3.44,5.51,8.89,61.34
Meghalaya,31.03,32.53,-,-,13.8,13.8,-,-,0.02,0.12,44.85,46.45,3.57
Mizoram,36.47,36.47,-,-,-,-,-,-,0.2,0.5,36.67,36.97,0.82
Nagaland,30.67,30.67,-,-,-,-,-,-,1,1,31.67,31.67,0
Odisha,64.63,64.63,-,-,59.22,59.22,-,-,79.57,394.73,203.42,518.58,154.93
Punjab,173.55,173.55,-,-,317.1,317.1,9.25,9.25,905.62,905.62,1405.52,1405.52,0
Rajasthan,23.85,23.85,4297.72,4299.72,121.3,121.3,-,-,2332.77,3226.79,6775.64,7671.66,13.22
Sikkim,52.11,52.11,-,-,-,-,-,-,0,0.01,52.11,52.12,0.02
Tamil Nadu,123.05,123.05,8197.09,8968.91,954.55,997.55,6.4,6.4,1908.57,2575.22,11189.66,12671.13,13.24
Telangana,90.87,90.87,100.8,128.1,159.1,159.1,18.5,18.5,3291.25,3592.09,3660.52,3988.66,8.96
Tripura,16.01,16.01,-,-,-,-,-,-,5.09,5.09,21.1,21.1,0
Uttar Pradesh,25.1,25.1,-,-,2115.51,2115.51,-,-,694.41,960.1,2835.02,3100.71,9.37
Uttarakhand,214.32,214.32,-,-,130.5,130.5,-,-,260.08,306.75,604.9,651.57,7.72
West Bengal,98.5,98.5,-,-,319.92,319.92,-,-,37.32,75.95,455.74,494.37,8.48
Andaman & Nicobar,5.25,5.25,-,-,-,-,-,-,6.56,11.73,11.81,16.98,43.78
Chandigarh,-,-,-,-,-,-,-,-,25.2,34.71,25.2,34.71,37.74
Dadar & Nagar Haveli,-,-,-,-,-,-,-,-,5.46,5.46,5.46,5.46,0
Daman & Diu,-,-,-,-,-,-,-,-,10.61,14.47,10.61,14.47,36.38
Delhi,-,-,-,-,-,-,52,52,69.57,126.89,121.57,178.89,47.15
Lakshwadeep,-,-,-,-,-,-,-,-,0.75,0.75,0.75,0.75,0
Puducherry,-,-,-,-,-,-,-,-,0.16,3.14,0.16,3.14,1862.5
Others,-,-,4.3,4.3,-,-,-,-,-,-,4.3,4.3,0
Total  (MW),4485.81,4593.15,34145,35625.97,9363.61,9778.31,138.3,138.3,21651.48,28180.71,69784.2,78316.44,12.23
