State,Villages,Habitations,Total Households,Electrified Households,% Unelectrified,% Electrified,,,,,,
Andhra Pradesh,"17,385","50,204","1,11,86,736","1,11,86,717",0.00%,100.00%,,,,,,
Arunachal Pradesh,"5,067","6,649","2,32,151","1,50,951",34.98%,65.02%,,,,,,
Assam,"25,457","81,093","51,85,360","27,49,133",46.98%,53.02%,,,,,,
Bihar,"37,929","62,321","1,22,57,401","55,30,277",54.88%,45.12%,,,,,,
Chhattisgarh,"19,814","74,481","45,17,573","38,67,881",14.38%,85.62%,,,,,,
Goa,319,319,"1,28,207","1,28,207",0.00%,100.00%,,,,,,
Gujarat,"16,619","19,402","66,94,055","66,94,051",0.00%,100.00%,,,,,,
Haryana,"6,625","7,218","34,17,668","27,12,671",20.63%,79.37%,,,,,,
Himachal Pradesh,"17,190","48,152","14,56,008","14,41,959",0.96%,99.04%,,,,,,
Jammu & Kashmir,"6,382","17,841","12,87,783","10,17,545",20.98%,79.02%,,,,,,
Jharkhand,"29,588","1,07,079","56,87,763","22,69,092",60.11%,39.89%,,,,,,
Karnataka,"28,893","71,143","96,08,429","83,98,019",12.60%,87.40%,,,,,,
Kerala,"1,490","7,485","71,01,235","70,91,249",0.14%,99.86%,,,,,,
Madhya Pradesh,"54,009","1,21,103","1,13,62,597","67,79,984",40.33%,59.67%,,,,,,
Maharashtra,"41,882","99,452","1,40,17,588","1,18,78,487",15.26%,84.74%,,,,,,
Manipur,"2,509","4,442","3,87,628","2,80,528",27.63%,72.37%,,,,,,
Meghalaya,"6,551","6,551","4,63,022","3,23,755",30.08%,69.92%,,,,,,
Mizoram,712,713,"1,08,000","96,994",10.19%,89.81%,,,,,,
Nagaland,"1,433","2,695","1,59,661","71,738",55.07%,44.93%,,,,,,
Odisha,"48,170","1,31,260","84,04,616","45,64,354",45.69%,54.31%,,,,,,
Puducherry,92,92,"1,01,788","1,01,413",0.37%,99.63%,,,,,,
Punjab,"12,177","13,874","36,88,646","36,88,646",0.00%,100.00%,,,,,,
Rajasthan,"42,784","1,31,269","90,64,236","69,01,679",23.86%,76.14%,,,,,,
Sikkim,149,954,"37,281","31,653",15.10%,84.90%,,,,,,
Tamil Nadu,"14,137","95,442","1,02,85,001","1,02,84,578",0.00%,100.00%,,,,,,
Telangana,"10,438","24,753","59,73,035","49,27,904",17.50%,82.50%,,,,,,
Tripura,872,"9,032","7,95,952","5,73,087",28.00%,72.00%,,,,,,
Uttar Pradesh,"1,02,828","2,70,312","3,02,72,838","1,49,16,654",50.73%,49.27%,,,,,,
Uttarakhand,"15,737","42,366","17,07,312","14,86,636",12.93%,87.07%,,,,,,
West Bengal,"36,965","1,00,772","1,38,20,342","1,36,92,761",0.92%,99.08%,,,,,,
India,"6,04,203","16,08,469","17,94,09,912","13,38,38,603",25.40%,74.60%,,,,,,
,,,,,,,,,,,,
